nearest_node,,,Node_sampled,,,
x1,y1,theta1,x2,y2,theta2,time
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.183263063
-0.142901717,-0.77699956,-1.339305248,-0.111800872,-0.871848692,-1.125905837,0.184405804
-0.315952782,-0.269014787,-1.152356815,-0.289271938,-0.322715464,-1.024317168,0.185538769
-0.111800872,-0.871848692,-1.125905837,-0.061318025,-0.957959683,-0.912506427,0.187095881
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.188250303
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.189429998
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.190598965
-0.061318025,-0.957959683,-0.912506427,0.006256579,-1.031425956,-0.699107017,0.191752434
-0.300486495,0.305893852,1.237716579,-0.276011718,0.402664745,1.451115989,0.193020582
-0.142901717,-0.77699956,-1.339305248,-0.128367049,-0.875753618,-1.552704658,0.194236994
-0.061318025,-0.957959683,-0.912506427,-0.00720706,-1.041838309,-1.125905837,0.195598602
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.196984291
0.006256579,-1.031425956,-0.699107017,0.083499844,-1.094931673,-0.676213724,0.19816041
-0.276011718,0.402664745,1.451115989,-0.272586581,0.5024239,1.664515399,0.199533224
0.083499844,-1.094931673,-0.676213724,0.164727251,-1.153154498,-0.563334838,0.200707912
-0.20097153,-0.47764727,-0.810917758,-0.172812137,-0.506043046,-0.725557994,0.201844454
-0.00720706,-1.041838309,-1.125905837,0.027912384,-1.13527409,-1.339305248,0.203104973
-0.272586581,0.5024239,1.664515399,-0.290366473,0.600645567,1.877914809,0.204272985
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.205446005
0.164727251,-1.153154498,-0.563334838,0.248640198,-1.20754228,-0.58841555,0.206815004
0.248640198,-1.20754228,-0.58841555,0.336092035,-1.255665007,-0.37501614,0.208261967
-0.290366473,0.600645567,1.877914809,-0.312320991,0.698019176,1.664515399,0.209501505
-0.358952617,0.069972397,0.477976209,-0.323844204,0.089121048,0.563335973,0.210659027
